# Stellar evolution track /home/tal/SciTools/synt/tracks/p_new641
# Track based on the Maeder-Meynet (Geneva) evolutionary tracks
# Charbonnel, C., Meynet, G., Maeder, A., Schaller G. & Schaerer, D., 1993, A&AS, 101, 415 
# Track point   0
# Twice solar metallicity tracks
# #   M[M0]     R[R0]     L[L0]   t_MS[yr]  Teff[K]      K  T/t_MS
       M        R         L       T          Teff       K    T_t_ms
223   12.188 4.768E+00 1.213E+04 1.480E+07 2.773E+04 -2.251 0.0000
224   12.094 4.763E+00 1.189E+04 1.493E+07 2.761E+04 -2.242 0.0000
225   12.000 4.735E+00 1.164E+04 1.506E+07 2.754E+04 -2.227 0.0000
226   11.906 4.714E+00 1.132E+04 1.537E+07 2.742E+04 -2.211 0.0000
227   11.812 4.687E+00 1.099E+04 1.567E+07 2.729E+04 -2.193 0.0000
228   11.719 4.660E+00 1.067E+04 1.598E+07 2.716E+04 -2.175 0.0000
229   11.625 4.660E+00 1.038E+04 1.629E+07 2.698E+04 -2.167 0.0000
230   11.531 4.633E+00 1.007E+04 1.659E+07 2.685E+04 -2.149 0.0000
231   11.438 4.606E+00 9.772E+03 1.690E+07 2.673E+04 -2.130 0.0000
232   11.344 4.580E+00 9.484E+03 1.721E+07 2.661E+04 -2.112 0.0000
233   11.250 4.559E+00 9.226E+03 1.752E+07 2.649E+04 -2.097 0.0000
234   11.156 4.533E+00 8.954E+03 1.782E+07 2.636E+04 -2.078 0.0000
235   11.062 4.512E+00 8.710E+03 1.813E+07 2.624E+04 -2.063 0.0000
236   10.969 4.491E+00 8.472E+03 1.844E+07 2.612E+04 -2.047 0.0000
237   10.875 4.465E+00 8.222E+03 1.875E+07 2.600E+04 -2.029 0.0000
238   10.781 4.445E+00 7.998E+03 1.905E+07 2.588E+04 -2.013 0.0000
239   10.688 4.419E+00 7.762E+03 1.936E+07 2.576E+04 -1.995 0.0000
240   10.594 4.419E+00 7.551E+03 1.967E+07 2.559E+04 -1.987 0.0000
241   10.500 4.394E+00 7.328E+03 1.997E+07 2.547E+04 -1.968 0.0000
242   10.406 4.369E+00 7.112E+03 2.028E+07 2.535E+04 -1.950 0.0000
243   10.312 4.344E+00 6.902E+03 2.059E+07 2.523E+04 -1.932 0.0000
244   10.219 4.319E+00 6.699E+03 2.090E+07 2.512E+04 -1.914 0.0000
245   10.125 4.299E+00 6.516E+03 2.120E+07 2.500E+04 -1.898 0.0000
246   10.031 4.274E+00 6.324E+03 2.151E+07 2.489E+04 -1.880 0.0000
247    9.938 4.255E+00 6.152E+03 2.182E+07 2.477E+04 -1.864 0.0000
248    9.844 4.230E+00 5.970E+03 2.212E+07 2.466E+04 -1.846 0.0000
249    9.750 4.211E+00 5.808E+03 2.243E+07 2.455E+04 -1.830 0.0000
250    9.656 4.191E+00 5.649E+03 2.274E+07 2.443E+04 -1.815 0.0000
251    9.562 4.167E+00 5.483E+03 2.305E+07 2.432E+04 -1.796 0.0000
252    9.469 4.148E+00 5.333E+03 2.335E+07 2.421E+04 -1.781 0.0000
253    9.375 4.124E+00 5.176E+03 2.366E+07 2.410E+04 -1.762 0.0000
254    9.281 4.101E+00 5.023E+03 2.397E+07 2.399E+04 -1.744 0.0000
255    9.188 4.077E+00 4.875E+03 2.428E+07 2.388E+04 -1.726 0.0000
256    9.094 4.072E+00 4.732E+03 2.458E+07 2.371E+04 -1.715 0.0000
257    9.000 4.054E+00 4.603E+03 2.489E+07 2.360E+04 -1.699 0.0000
258    8.938 4.040E+00 4.487E+03 2.544E+07 2.350E+04 -1.686 0.0000
259    8.875 4.021E+00 4.365E+03 2.598E+07 2.339E+04 -1.670 0.0000
260    8.812 4.003E+00 4.246E+03 2.653E+07 2.328E+04 -1.654 0.0000
261    8.750 3.984E+00 4.130E+03 2.707E+07 2.317E+04 -1.639 0.0000
262    8.688 3.966E+00 4.018E+03 2.762E+07 2.307E+04 -1.623 0.0000
263    8.625 3.952E+00 3.917E+03 2.816E+07 2.296E+04 -1.609 0.0000
264    8.562 3.939E+00 3.819E+03 2.871E+07 2.286E+04 -1.596 0.0000
265    8.500 3.921E+00 3.715E+03 2.925E+07 2.275E+04 -1.580 0.0000
266    8.438 3.903E+00 3.614E+03 2.980E+07 2.265E+04 -1.565 0.0000
267    8.375 3.885E+00 3.516E+03 3.034E+07 2.254E+04 -1.549 0.0000
268    8.312 3.871E+00 3.428E+03 3.089E+07 2.244E+04 -1.536 0.0000
269    8.250 3.854E+00 3.334E+03 3.143E+07 2.234E+04 -1.520 0.0000
270    8.188 3.836E+00 3.243E+03 3.198E+07 2.223E+04 -1.504 0.0000
271    8.125 3.823E+00 3.162E+03 3.252E+07 2.213E+04 -1.491 0.0000
272    8.062 3.809E+00 3.083E+03 3.307E+07 2.203E+04 -1.477 0.0000
273    8.000 3.792E+00 2.999E+03 3.361E+07 2.193E+04 -1.462 0.0000
274    7.938 3.775E+00 2.917E+03 3.416E+07 2.183E+04 -1.446 0.0000
275    7.875 3.761E+00 2.844E+03 3.470E+07 2.173E+04 -1.432 0.0000
276    7.812 3.749E+00 2.773E+03 3.525E+07 2.163E+04 -1.419 0.0000
277    7.750 3.731E+00 2.698E+03 3.579E+07 2.153E+04 -1.403 0.0000
278    7.688 3.714E+00 2.624E+03 3.634E+07 2.143E+04 -1.388 0.0000
279    7.625 3.701E+00 2.559E+03 3.688E+07 2.133E+04 -1.374 0.0000
280    7.562 3.684E+00 2.489E+03 3.743E+07 2.123E+04 -1.358 0.0000
281    7.500 3.667E+00 2.421E+03 3.797E+07 2.113E+04 -1.343 0.0000
282    7.438 3.651E+00 2.355E+03 3.852E+07 2.104E+04 -1.327 0.0000
283    7.375 3.634E+00 2.291E+03 3.907E+07 2.094E+04 -1.311 0.0000
284    7.312 3.617E+00 2.228E+03 3.961E+07 2.084E+04 -1.295 0.0000
285    7.250 3.605E+00 2.173E+03 4.016E+07 2.075E+04 -1.282 0.0000
286    7.188 3.588E+00 2.113E+03 4.070E+07 2.065E+04 -1.266 0.0000
287    7.125 3.572E+00 2.056E+03 4.125E+07 2.056E+04 -1.250 0.0000
288    7.062 3.555E+00 2.000E+03 4.179E+07 2.046E+04 -1.234 0.0000
289    7.000 3.543E+00 1.950E+03 4.234E+07 2.037E+04 -1.221 0.0000
290    6.938 3.523E+00 1.875E+03 4.405E+07 2.023E+04 -1.199 0.0000
291    6.875 3.506E+00 1.807E+03 4.576E+07 2.009E+04 -1.181 0.0000
292    6.812 3.486E+00 1.738E+03 4.747E+07 1.995E+04 -1.159 0.0000
293    6.750 3.466E+00 1.671E+03 4.918E+07 1.982E+04 -1.138 0.0000
294    6.688 3.446E+00 1.607E+03 5.089E+07 1.968E+04 -1.117 0.0000
295    6.625 3.411E+00 1.545E+03 5.260E+07 1.959E+04 -1.088 0.0000
296    6.562 3.391E+00 1.486E+03 5.431E+07 1.945E+04 -1.067 0.0000
297    6.500 3.376E+00 1.432E+03 5.602E+07 1.932E+04 -1.048 0.0000
